pos	word_en	word_sp	positive	negative	objective	index	synset
r	hardly	apenas	+0	-0.25	0.75	1	00003093
r	scarcely	escasamente	+0	-0.25	0.75	1	00003093
r	completely	None	+0.5	-0	0.5	0	00008007
r	entirely	None	+0.5	-0	0.5	0	00008007
r	totally	None	+0.5	-0	0.5	0	00008007
r	whole	None	+0.5	-0	0.5	0	00008007
r	wholly	None	+0.5	-0	0.5	0	00008007
r	absolutely	None	+0.5	-0	0.5	0	00008997
r	dead	None	+0.5	-0	0.5	1	00008997
r	perfectly	None	+0.5	-0	0.5	0	00008997
a	abounding	None	+0	-0.25	0.75	0	00014358
a	galore	None	+0	-0.25	0.75	1	00014358
r	well	None	+0.625	-0	0.375	7	00015007
a	exuberant	None	+0	-0.25	0.75	2	00015247
a	luxuriant	None	+0	-0.25	0.75	2	00015247
r	all_right	None	+0.625	-0	0.375	2	00015471
v	doss	None	+0.125	-0	0.875	0	00017674
a	acceptable	aceptable	+0.625	-0	0.375	0	00017782
r	quite	None	+0	-0.625	0.375	0	00018781
r	rather	None	+0	-0.625	0.375	3	00018781
a	come-at-able	None	+0.625	-0	0.375	1	00019505
r	coterminously	None	+0.375	-0	0.625	0	00020676
a	close	None	+0.625	-0	0.375	4	00022219
r	palmately	None	+0.5	-0	0.5	0	00023169
a	right	None	+0.875	-0	0.125	13	00023278
a	veracious	None	+0.875	-0	0.125	1	00023278
a	athletic	None	+0.375	-0	0.625	1	00032497
n	measure	None	+0	-0.375	0.625	1	00033615
a	hypoactive	None	+0	-0.625	0.375	0	00034232
r	peculiarly	None	+0.5	-0	0.5	1	00035491
r	definitely	None	+0.25	-0	0.75	0	00036935
r	emphatically	None	+0.25	-0	0.75	0	00036935
r	unquestionably	None	+0.25	-0	0.75	1	00036935
r	really	None	+0.625	-0	0.375	0	00037226
r	in_truth	None	+0.5	-0	0.5	0	00038013
r	really	None	+0.5	-0	0.5	2	00038013
r	unexpectedly	None	+0	-0.125	0.875	0	00040719
